Iteracion,Profit
0,90595.76
100,90595.76
200,90595.76
300,90595.76
400,90595.76
500,90595.76
600,90595.76
700,90595.76
800,90595.76
900,90595.76
1000,90595.76
1100,90595.76
1200,90595.76
1300,90595.76
1400,90595.76
1500,90595.76
1600,90595.76
1700,90595.76
1800,90595.76
1900,90595.76
2000,90595.76
2100,90595.76
2200,90595.76
2300,90595.76
2400,90595.76
2500,90595.76
2600,90595.76
2700,90595.76
2800,90595.76
2900,90595.76
3000,90595.76
3100,90595.76
3200,90595.76
3300,90595.76
3400,90595.76
3500,90595.76
3600,90595.76
3700,90595.76
3800,90595.76
3900,90595.76
4000,90595.76
4100,90595.76
4200,90595.76
4300,90595.76
4400,90595.76
4500,90595.76
4600,90595.76
4700,90595.76
4800,90595.76
4900,90595.76
5000,90595.76
5100,90595.76
5200,90595.76
5300,90595.76
5400,90595.76
5500,90595.76
5600,90595.76
5700,90595.76
5800,90595.76
5900,90595.76
6000,90595.76
6100,90595.76
6200,90595.76
6300,90595.76
6400,90595.76
6500,90595.76
6600,90595.76
6700,90595.76
6800,90595.76
6900,90595.76
7000,90595.76
7100,90595.76
7200,90595.76
7300,90595.76
7400,90595.76
7500,90595.76
7600,90595.76
7700,90595.76
7800,90595.76
7900,90595.76
8000,90595.76
8100,90595.76
8200,90595.76
8300,90595.76
8400,90595.76
8500,90595.76
8600,90595.76
8700,90595.76
8800,90595.76
8900,90595.76
9000,90595.76
9100,90595.76
9200,90595.76
9300,90595.76
9400,90595.76
9500,90595.76
9600,90595.76
9700,90595.76
9800,90595.76
9900,90595.76
10000,90595.76
10100,90595.76
10200,90595.76
10300,90595.76
10400,90595.76
10500,90595.76
10600,90595.76
10700,90595.76
10800,90595.76
10900,90595.76
11000,90595.76
11100,90595.76
11200,90595.76
11300,90595.76
11400,90595.76
11500,90595.76
11600,90595.76
11700,90595.76
11800,90595.76
11900,90595.76
12000,90595.76
12100,90595.76
12200,90595.76
12300,90595.76
12400,90595.76
12500,90595.76
12600,90595.76
12700,90595.76
12800,90595.76
12900,90595.76
13000,90595.76
13100,90595.76
13200,90595.76
13300,90595.76
13400,90595.76
13500,90595.76
13600,90595.76
13700,90595.76
13800,90595.76
13900,90595.76
14000,90595.76
14100,90595.76
14200,90595.76
14300,90595.76
14400,90595.76
14500,90595.76
14600,90595.76
14700,90595.76
14800,90595.76
14900,90595.76
15000,90595.76
15100,90595.76
15200,90595.76
15300,90595.76
15400,90595.76
15500,90595.76
15600,90595.76
15700,90595.76
15800,90595.76
15900,90595.76
16000,90595.76
16100,90595.76
16200,90595.76
16300,90595.76
16400,90595.76
16500,90595.76
16600,90595.76
16700,90595.76
16800,90595.76
16900,90595.76
17000,90595.76
17100,90595.76
17200,90595.76
17300,90595.76
17400,90595.76
17500,90595.76
17600,90595.76
17700,90595.76
17800,90595.76
17900,90595.76
18000,90595.76
18100,90595.76
18200,90595.76
18300,90595.76
18400,90595.76
18500,90595.76
18600,90595.76
18700,90595.76
18800,90595.76
18900,90595.76
19000,90595.76
19100,90595.76
19200,90595.76
19300,90595.76
19400,90595.76
19500,90595.76
19600,90595.76
19700,90595.76
19800,90595.76
19900,90595.76
20000,90595.76
20100,90595.76
20200,90595.76
20300,90595.76
20400,90595.76
20500,90595.76
20600,90595.76
20700,90595.76
20800,90595.76
20900,90595.76
21000,90595.76
21100,90595.76
21200,90595.76
21300,90595.76
21400,90595.76
21500,90595.76
21600,90595.76
21700,90595.76
21800,90595.76
21900,90595.76
22000,90595.76
22100,90595.76
22200,90595.76
22300,90595.76
22400,90595.76
22500,90595.76
22600,90595.76
22700,90595.76
22800,90595.76
22900,90595.76
23000,90595.76
23100,90595.76
23200,90595.76
23300,90595.76
23400,90595.76
23500,90595.76
23600,90595.76
23700,90595.76
23800,90595.76
23900,90595.76
24000,90595.76
24100,90595.76
24200,90595.76
24300,90595.76
24400,90595.76
24500,90595.76
24600,90595.76
24700,90595.76
24800,90595.76
24900,90595.76
25000,90595.76
25100,90595.76
25200,90595.76
25300,90595.76
25400,90595.76
25500,90595.76
25600,90595.76
25700,90595.76
25800,90595.76
25900,90595.76
26000,90595.76
26100,90595.76
26200,90595.76
26300,90595.76
26400,90595.76
26500,90595.76
26600,90595.76
26700,90595.76
26800,90595.76
26900,90595.76
27000,90595.76
27100,90595.76
27200,90595.76
27300,90595.76
27400,90595.76
27500,90595.76
27600,90595.76
27700,90595.76
27800,90595.76
27900,90595.76
28000,90595.76
28100,90595.76
28200,90595.76
28300,90595.76
28400,90595.76
28500,90595.76
28600,90595.76
28700,90595.76
28800,90595.76
28900,90595.76
29000,90595.76
29100,90595.76
29200,90595.76
29300,90595.76
29400,90595.76
29500,90595.76
29600,90595.76
29700,90595.76
29800,90595.76
29900,90595.76
30000,90595.76
30100,90595.76
30200,90595.76
30300,90595.76
30400,90595.76
30500,90595.76
30600,90595.76
30700,90595.76
30800,90595.76
30900,90595.76
31000,90595.76
31100,90595.76
31200,90595.76
31300,90595.76
31400,90595.76
31500,90595.76
31600,90595.76
31700,90595.76
31800,90595.76
31900,90595.76
32000,90595.76
32100,90595.76
32200,90595.76
32300,90595.76
32400,90595.76
32500,90595.76
32600,90595.76
32700,90595.76
32800,90595.76
32900,90595.76
33000,90595.76
33100,90595.76
33200,90595.76
33300,90595.76
33400,90595.76
33500,90595.76
33600,90595.76
33700,90595.76
33800,90595.76
33900,90595.76
34000,90595.76
34100,90595.76
34200,90595.76
34300,90595.76
34400,90595.76
34500,90595.76
34600,90595.76
34700,90595.76
34800,90595.76
34900,90595.76
35000,90595.76
35100,90595.76
35200,90595.76
35300,90595.76
35400,90595.76
35500,90595.76
35600,90595.76
35700,90595.76
35800,90595.76
35900,90595.76
36000,90595.76
36100,90595.76
36200,90595.76
36300,90595.76
36400,90595.76
36500,90595.76
36600,90595.76
36700,90595.76
36800,90595.76
36900,90595.76
37000,90595.76
37100,90595.76
37200,90595.76
37300,90595.76
37400,90595.76
37500,90595.76
37600,90595.76
37700,90595.76
37800,90595.76
37900,90595.76
38000,90595.76
38100,90595.76
38200,90595.76
38300,90595.76
38400,90595.76
38500,90595.76
38600,90595.76
38700,90595.76
38800,90595.76
38900,90595.76
39000,90595.76
39100,90595.76
39200,90595.76
39300,90595.76
39400,90595.76
39500,90595.76
39600,90595.76
39700,90595.76
39800,90595.76
39900,90595.76
40000,90595.76
40100,90595.76
40200,90595.76
40300,90595.76
40400,90595.76
40500,90595.76
40600,90595.76
40700,90595.76
40800,90595.76
40900,90595.76
