Iteracion,Profit
0,19902.46
100,19902.46
200,19902.46
300,19902.46
400,19902.46
500,19902.46
600,19902.46
700,19902.46
800,19902.46
900,19902.46
1000,19902.46
1100,19902.46
1200,19902.46
1300,19902.46
1400,19902.46
1500,19902.46
1600,19902.46
1700,19902.46
1800,19902.46
1900,19902.46
2000,19902.46
2100,19902.46
2200,19902.46
2300,19902.46
2400,19902.46
2500,19902.46
2600,19902.46
2700,19902.46
2800,19902.46
2900,19902.46
3000,19902.46
3100,19902.46
3200,19902.46
3300,19902.46
3400,19902.46
3500,19902.46
3600,19902.46
3700,19902.46
3800,19902.46
3900,19902.46
4000,19902.46
4100,19902.46
4200,19902.46
4300,19902.46
4400,19902.46
4500,19902.46
4600,19902.46
4700,19902.46
4800,19902.46
4900,19902.46
5000,19902.46
5100,19902.46
5200,19902.46
5300,19902.46
5400,19902.46
5500,19902.46
5600,19902.46
5700,19902.46
5800,19902.46
5900,19902.46
6000,19902.46
6100,19902.46
6200,19902.46
6300,19902.46
6400,19902.46
6500,19902.46
6600,19902.46
6700,19902.46
6800,19902.46
6900,19902.46
7000,19902.46
7100,19902.46
7200,19902.46
7300,19902.46
7400,19902.46
7500,19902.46
7600,19902.46
7700,19902.46
7800,19902.46
7900,19902.46
8000,19902.46
8100,19902.46
8200,19902.46
8300,19902.46
8400,19902.46
8500,19902.46
8600,19902.46
8700,19902.46
8800,19902.46
8900,19902.46
9000,19902.46
9100,19902.46
9200,19902.46
9300,19902.46
9400,19902.46
9500,19902.46
9600,19902.46
9700,19902.46
9800,19902.46
9900,19902.46
10000,19902.46
10100,19902.46
10200,19902.46
10300,19902.46
10400,19902.46
10500,19902.46
10600,19902.46
10700,19902.46
10800,19902.46
10900,19902.46
11000,19902.46
11100,19902.46
11200,19902.46
11300,19902.46
11400,19902.46
11500,19902.46
11600,19902.46
11700,19902.46
11800,19902.46
11900,19902.46
12000,19902.46
12100,19902.46
12200,19902.46
12300,19902.46
12400,19902.46
12500,19902.46
12600,19902.46
12700,19902.46
12800,19902.46
12900,19902.46
13000,19902.46
13100,19902.46
13200,19902.46
13300,19902.46
13400,19902.46
13500,19902.46
13600,19902.46
13700,19902.46
13800,19902.46
13900,19902.46
14000,19902.46
14100,19902.46
14200,19902.46
14300,19902.46
14400,19902.46
14500,19902.46
14600,19902.46
14700,19902.46
14800,19902.46
14900,19902.46
15000,19902.46
15100,19902.46
15200,19902.46
15300,19902.46
15400,19902.46
15500,19902.46
15600,19902.46
15700,19902.46
15800,19902.46
15900,19902.46
16000,19902.46
16100,19902.46
16200,19902.46
16300,19902.46
16400,19902.46
16500,19902.46
16600,19902.46
16700,19902.46
16800,19902.46
16900,19902.46
17000,19902.46
17100,19902.46
17200,19902.46
17300,19902.46
17400,19902.46
17500,19902.46
17600,19902.46
17700,19902.46
17800,19902.46
17900,19902.46
18000,19902.46
18100,19902.46
18200,19902.46
18300,19902.46
18400,19902.46
18500,19902.46
18600,19902.46
18700,19902.46
18800,19902.46
18900,19902.46
19000,19902.46
19100,19902.46
19200,19902.46
19300,19902.46
19400,19902.46
19500,19902.46
19600,19902.46
19700,19902.46
19800,19902.46
19900,19902.46
20000,19902.46
20100,19902.46
20200,19902.46
20300,19902.46
20400,19902.46
20500,19902.46
20600,19902.46
20700,19902.46
20800,19902.46
20900,19902.46
21000,19902.46
21100,19902.46
21200,14791.66
21300,15530.86
21400,16876.26
21500,16717.41
21600,16717.41
21700,16717.41
21800,16717.41
21900,16717.41
22000,16717.41
22100,16717.41
22200,16717.41
22300,16717.41
22400,16717.41
22500,16717.41
22600,16717.41
22700,16717.41
22800,16717.41
22900,16717.41
23000,16717.41
23100,16717.41
23200,16717.41
23300,18319.21
23400,18319.21
23500,18319.21
23600,18319.21
23700,18319.21
23800,18319.21
23900,18319.21
24000,18319.21
24100,18319.21
24200,18319.21
24300,18319.21
24400,18319.21
24500,18319.21
24600,18319.21
24700,18319.21
24800,18319.21
24900,19598.42
25000,19598.42
25100,19598.42
25200,19598.42
25300,19598.42
25400,19598.42
25500,19598.42
25600,19118.79
25700,19118.79
25800,19118.79
25900,19118.79
26000,19118.79
26100,19118.79
26200,19118.79
26300,19118.79
26400,19118.79
26500,19118.79
26600,19118.79
26700,19118.79
26800,19118.79
26900,19118.79
27000,19118.79
