Iteracion,Profit
0,19411.38
100,19411.38
200,19411.38
300,19411.38
400,19411.38
500,19411.38
600,19411.38
700,19411.38
800,19411.38
900,19411.38
1000,19411.38
1100,19411.38
1200,19411.38
1300,19411.38
1400,19411.38
1500,19411.38
1600,19411.38
1700,19411.38
1800,19411.38
1900,19411.38
2000,19411.38
2100,19411.38
2200,19411.38
2300,19411.38
2400,19411.38
2500,19411.38
2600,19411.38
2700,19411.38
2800,19411.38
2900,19411.38
3000,19411.38
3100,19411.38
3200,19411.38
3300,16695.50
3400,17918.69
3500,19205.34
3600,18787.88
3700,18980.10
3800,18980.10
3900,18980.10
4000,18980.10
4100,18980.10
4200,18980.10
4300,18980.10
4400,18980.10
4500,19466.76
4600,19336.35
4700,19336.35
4800,19336.35
4900,19336.35
5000,19336.35
5100,19336.35
5200,20118.65
5300,20160.64
5400,20160.64
5500,20160.64
5600,20160.64
5700,20160.64
5800,20160.64
5900,20442.37
6000,20442.37
6100,20442.37
6200,20442.37
6300,20396.35
6400,20396.35
6500,20396.35
6600,21115.05
6700,21444.94
6800,21757.02
6900,22023.26
7000,21866.67
7100,21991.03
7200,21991.03
7300,21991.03
7400,21991.03
7500,21991.03
7600,21991.03
7700,21991.03
7800,21991.03
7900,21991.03
8000,21991.03
8100,21991.03
8200,21991.03
8300,21991.03
8400,21991.03
8500,21991.03
8600,21991.03
8700,21991.03
8800,21991.03
8900,21991.03
9000,21991.03
9100,21991.03
9200,21991.03
9300,21991.03
9400,21991.03
9500,21991.03
9600,21991.03
9700,21991.03
9800,21991.03
9900,21991.03
10000,21991.03
10100,21991.03
10200,21991.03
10300,21991.03
10400,21991.03
10500,21991.03
10600,21991.03
10700,21991.03
10800,21991.03
10900,21991.03
11000,21991.03
11100,21991.03
11200,21991.03
11300,21991.03
11400,21991.03
11500,21991.03
11600,21991.03
11700,21991.03
11800,21991.03
11900,21991.03
12000,21991.03
12100,21991.03
12200,21991.03
12300,21991.03
12400,21991.03
12500,21991.03
12600,21991.03
12700,21991.03
12800,21991.03
12900,21991.03
13000,21991.03
13100,21991.03
13200,21991.03
13300,21991.03
13400,21991.03
13500,21991.03
13600,21991.03
13700,21991.03
13800,21991.03
13900,21991.03
14000,21991.03
14100,21991.03
14200,21991.03
14300,21991.03
14400,21991.03
14500,21991.03
14600,21991.03
14700,21991.03
14800,21991.03
14900,21991.03
15000,21991.03
15100,21991.03
15200,21991.03
15300,21991.03
15400,21991.03
15500,21991.03
15600,21991.03
15700,21991.03
15800,21991.03
15900,21991.03
16000,21991.03
16100,21991.03
16200,21991.03
16300,21991.03
16400,21991.03
16500,21991.03
16600,21991.03
16700,21991.03
16800,21991.03
16900,21991.03
17000,21991.03
17100,21991.03
17200,21991.03
17300,21991.03
17400,21991.03
17500,21991.03
17600,21991.03
17700,21991.03
17800,21991.03
17900,21991.03
18000,21991.03
18100,21991.03
18200,21991.03
18300,21991.03
18400,21991.03
18500,21991.03
18600,21991.03
18700,21991.03
18800,21991.03
18900,21991.03
19000,21991.03
19100,21991.03
19200,21991.03
19300,21991.03
19400,21991.03
19500,21991.03
19600,21991.03
19700,21991.03
19800,21991.03
19900,21991.03
20000,21991.03
20100,21991.03
20200,22230.96
20300,22230.96
20400,22230.96
20500,22230.96
20600,22230.96
20700,22230.96
20800,22230.96
20900,22230.96
21000,22230.96
21100,22230.96
21200,22230.96
21300,22230.96
21400,22230.96
21500,22230.96
21600,22230.96
21700,22230.96
21800,22230.96
21900,22230.96
22000,22230.96
22100,22230.96
22200,22230.96
22300,22230.96
22400,22230.96
22500,22230.96
22600,22230.96
22700,22230.96
22800,22230.96
22900,22230.96
23000,22230.96
23100,22230.96
23200,22230.96
23300,22230.96
23400,22230.96
23500,22230.96
23600,22230.96
23700,22230.96
23800,22230.96
23900,22230.96
24000,22230.96
24100,22230.96
24200,22230.96
24300,22230.96
24400,22230.96
24500,22230.96
24600,22230.96
24700,22230.96
24800,22230.96
24900,22230.96
25000,22230.96
25100,22230.96
25200,22230.96
25300,22230.96
25400,22230.96
25500,22230.96
25600,22230.96
25700,22230.96
25800,22230.96
25900,22230.96
26000,22230.96
26100,22230.96
26200,22230.96
26300,22230.96
26400,22230.96
26500,22230.96
26600,22230.96
26700,22230.96
26800,22230.96
26900,22230.96
27000,22230.96
27100,22230.96
27200,22230.96
27300,22230.96
27400,22230.96
27500,22230.96
27600,22230.96
27700,22230.96
27800,22230.96
27900,22230.96
28000,22230.96
28100,22230.96
28200,22230.96
28300,22230.96
28400,22230.96
28500,22230.96
28600,22230.96
28700,22230.96
28800,22230.96
28900,22230.96
29000,22230.96
29100,22230.96
29200,22230.96
29300,22230.96
29400,22230.96
29500,22230.96
29600,22230.96
29700,22230.96
29800,22230.96
29900,22230.96
30000,22230.96
30100,22230.96
30200,22230.96
30300,22230.96
30400,22230.96
30500,22230.96
30600,22230.96
30700,22230.96
30800,22230.96
30900,22230.96
31000,22230.96
31100,22230.96
31200,22230.96
31300,22230.96
31400,22230.96
31500,22230.96
31600,22230.96
31700,22230.96
31800,22230.96
31900,22230.96
32000,22230.96
32100,22230.96
32200,22230.96
32300,22230.96
32400,22230.96
32500,22230.96
32600,22230.96
32700,22647.84
32800,22647.84
32900,22949.49
33000,22949.49
33100,22949.49
33200,22949.49
33300,22949.49
33400,22949.49
33500,22949.49
33600,22949.49
33700,22949.49
33800,22949.49
33900,22949.49
34000,22949.49
34100,22949.49
34200,22949.49
34300,22949.49
34400,22949.49
34500,22949.49
34600,22949.49
34700,22949.49
34800,22949.49
34900,22949.49
35000,22949.49
35100,22949.49
35200,22949.49
35300,22949.49
35400,22949.49
35500,22949.49
35600,22949.49
35700,22949.49
35800,22949.49
35900,22949.49
36000,22949.49
36100,22949.49
36200,22949.49
36300,22949.49
36400,22949.49
36500,22949.49
36600,22949.49
36700,22949.49
36800,22949.49
36900,22949.49
37000,22949.49
37100,22949.49
37200,22949.49
37300,22949.49
37400,22949.49
37500,22949.49
37600,22949.49
37700,22949.49
37800,22949.49
37900,22949.49
38000,22949.49
38100,22949.49
38200,22949.49
38300,22949.49
38400,22949.49
38500,22949.49
38600,22949.49
38700,22949.49
38800,22949.49
38900,22949.49
39000,22949.49
39100,22949.49
39200,22949.49
39300,22949.49
39400,22949.49
39500,22949.49
39600,22949.49
39700,22949.49
39800,22949.49
39900,22949.49
40000,22949.49
40100,22949.49
40200,22949.49
