Iteracion,Profit
0,26734.47
100,26734.47
200,26734.47
300,26734.47
400,26734.47
500,26734.47
600,26734.47
700,26734.47
800,26734.47
900,26734.47
1000,26734.47
1100,26734.47
1200,26734.47
1300,26734.47
1400,26734.47
1500,26734.47
1600,26734.47
1700,26734.47
1800,26734.47
1900,26734.47
2000,26734.47
2100,26734.47
2200,26734.47
2300,26734.47
2400,26734.47
2500,26734.47
2600,26734.47
2700,26734.47
2800,26734.47
2900,26734.47
3000,26734.47
3100,26734.47
3200,26734.47
3300,26734.47
3400,26734.47
3500,26734.47
3600,26734.47
3700,26734.47
3800,26734.47
3900,26734.47
4000,26734.47
4100,26734.47
4200,26734.47
4300,26734.47
4400,26734.47
4500,26734.47
4600,26734.47
4700,26734.47
4800,26734.47
4900,26734.47
5000,26734.47
5100,26734.47
5200,26734.47
5300,26734.47
5400,26734.47
5500,26734.47
5600,26734.47
5700,26734.47
5800,26734.47
5900,26734.47
6000,26734.47
6100,26734.47
6200,24035.19
6300,27819.53
6400,28414.84
6500,31852.04
6600,34720.09
6700,34720.09
6800,34720.09
6900,35694.51
7000,35289.72
7100,36902.46
7200,35637.74
7300,36326.19
7400,37067.61
7500,37221.15
7600,37221.15
7700,37405.27
7800,37405.27
7900,37405.27
8000,37405.27
8100,37405.27
8200,37405.27
8300,37405.27
8400,37405.27
8500,37405.27
8600,37405.27
8700,37405.27
8800,37405.27
8900,37405.27
9000,37405.27
9100,37405.27
9200,37405.27
9300,37405.27
9400,37405.27
9500,37405.27
9600,37405.27
9700,37405.27
9800,37405.27
9900,37405.27
10000,37405.27
10100,37405.27
10200,37405.27
10300,37405.27
10400,37405.27
10500,37405.27
10600,37405.27
10700,37405.27
10800,37405.27
10900,37405.27
11000,37405.27
11100,37405.27
11200,37405.27
11300,37405.27
11400,37405.27
11500,37405.27
11600,37405.27
11700,37405.27
11800,37405.27
11900,37405.27
12000,37405.27
12100,37405.27
12200,37405.27
12300,37405.27
12400,37405.27
12500,37405.27
12600,37405.27
12700,37405.27
12800,37405.27
12900,37405.27
13000,37405.27
13100,37405.27
13200,37405.27
13300,37405.27
13400,37405.27
13500,37405.27
13600,37405.27
13700,37405.27
13800,37405.27
13900,37405.27
14000,37405.27
14100,37405.27
14200,37405.27
14300,37405.27
14400,37405.27
14500,37405.27
14600,37405.27
14700,37405.27
14800,37405.27
14900,37405.27
15000,37405.27
15100,37405.27
15200,37405.27
15300,37405.27
15400,37405.27
15500,37405.27
15600,37405.27
15700,37405.27
15800,37405.27
