Iteracion,Profit
0,15716.65
100,15716.65
200,15716.65
300,15716.65
400,15716.65
500,15716.65
600,15716.65
700,15716.65
800,15716.65
900,15716.65
1000,15716.65
1100,15716.65
1200,15716.65
1300,15716.65
1400,15716.65
1500,15716.65
1600,15716.65
1700,15716.65
1800,15716.65
1900,15716.65
2000,15716.65
2100,15716.65
2200,15716.65
2300,15716.65
2400,15716.65
2500,15716.65
2600,13498.35
2700,13707.75
2800,14147.47
2900,15243.26
3000,14879.35
3100,14879.35
3200,14879.35
3300,14879.35
3400,14879.35
3500,15409.24
3600,15409.24
3700,16123.08
3800,16791.75
3900,18627.35
4000,18976.02
4100,18976.02
4200,18128.28
4300,18171.98
4400,18935.65
4500,18935.65
4600,18935.65
4700,18935.65
4800,19570.65
4900,19570.65
5000,19570.65
5100,19570.65
5200,19570.65
5300,19570.65
5400,19570.65
5500,19638.35
5600,19638.35
5700,19638.35
5800,19638.35
5900,19638.35
6000,19638.35
6100,19638.35
6200,19638.35
6300,19638.35
6400,19638.35
6500,19638.35
6600,19638.35
6700,19638.35
6800,19638.35
6900,19638.35
7000,19638.35
7100,19638.35
7200,19638.35
7300,19638.35
7400,19638.35
7500,19638.35
7600,19638.35
7700,19638.35
7800,19638.35
7900,19638.35
8000,19638.35
8100,19638.35
8200,19638.35
8300,19638.35
8400,19638.35
8500,19638.35
8600,19638.35
8700,19638.35
8800,19638.35
8900,19638.35
9000,19638.35
9100,19638.35
9200,19638.35
9300,19638.35
9400,19638.35
9500,19638.35
9600,19638.35
9700,19638.35
9800,19638.35
9900,19638.35
10000,19638.35
10100,19638.35
10200,19638.35
10300,19638.35
10400,19638.35
10500,19638.35
10600,19638.35
10700,19638.35
10800,19638.35
10900,19638.35
11000,19638.35
11100,19638.35
11200,19638.35
11300,19638.35
11400,19638.35
11500,19638.35
11600,19638.35
11700,19638.35
11800,19638.35
11900,19638.35
12000,19638.35
12100,19638.35
12200,19638.35
12300,19638.35
12400,19638.35
12500,19638.35
12600,19638.35
